clone,time_of_death,treat1,treat2,status
a1,13,no lime,static,1
a1,13,no lime,static,1
a1,13,no lime,static,1
a1,17,no lime,static,1
a1,17,no lime,static,1
a1,18,no lime,static,1
a1,22,no lime,static,1
a1,41,no lime,static,1
a1,41,no lime,static,1
a1,41,no lime,static,1
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a1,41,no lime,static,0
a2,13,no lime,static,1
a2,15,no lime,static,1
a2,17,no lime,static,1
a2,18,no lime,static,1
a2,20,no lime,static,1
a2,21,no lime,static,1
a2,24,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,1
a2,41,no lime,static,0
a2,41,no lime,static,0
a2,41,no lime,static,0
a2,41,no lime,static,0
a2,41,no lime,static,0
a2,41,no lime,static,0
a2,41,no lime,static,0
a3,18,no lime,static,1
a3,18,no lime,static,1
a3,18,no lime,static,1
a3,20,no lime,static,1
a3,20,no lime,static,1
a3,41,no lime,static,1
a3,41,no lime,static,1
a3,41,no lime,static,1
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a3,41,no lime,static,0
a4,13,no lime,static,1
a4,13,no lime,static,1
a4,13,no lime,static,1
a4,13,no lime,static,1
a4,13,no lime,static,1
a4,13,no lime,static,1
a4,14,no lime,static,1
a4,14,no lime,static,1
a4,14,no lime,static,1
a4,14,no lime,static,1
a4,15,no lime,static,0
a4,15,no lime,static,0
a4,17,no lime,static,0
a4,17,no lime,static,0
a4,17,no lime,static,0
a4,18,no lime,static,0
a4,18,no lime,static,0
a4,19,no lime,static,0
a4,19,no lime,static,0
a4,19,no lime,static,0
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,13,no lime,static,1
a5,14,no lime,static,1
a5,14,no lime,static,1
a5,14,no lime,static,1
a5,16,no lime,static,1
a5,17,no lime,static,1
a5,17,no lime,static,1
a5,19,no lime,static,1
a5,19,no lime,static,1
a5,19,no lime,static,1
a5,19,no lime,static,1
a5,20,no lime,static,1
a5,20,no lime,static,0
a6,13,no lime,static,1
a6,13,no lime,static,1
a6,16,no lime,static,1
a6,17,no lime,static,1
a6,19,no lime,static,1
a6,19,no lime,static,1
a6,19,no lime,static,1
a6,20,no lime,static,1
a6,21,no lime,static,1
a6,21,no lime,static,1
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
a6,23,no lime,static,0
b1,13,no lime,shaken,1
b1,13,no lime,shaken,1
b1,14,no lime,shaken,1
b1,20,no lime,shaken,1
b1,20,no lime,shaken,1
